iter	Passed	Remaining
0	110	110857
1	116	58013
2	121	40358
3	125	31274
4	128	25590
5	131	21792
6	134	19120
7	137	17026
8	139	15334
9	141	14019
10	144	12962
11	147	12115
12	148	11294
13	150	10625
14	153	10088
15	155	9558
16	157	9081
17	158	8658
18	160	8294
19	162	7963
20	163	7643
21	165	7339
22	165	7048
23	166	6782
24	168	6569
25	170	6375
26	171	6167
27	172	5973
28	173	5792
29	173	5618
30	175	5477
31	176	5348
32	177	5201
33	178	5071
34	179	4951
35	180	4842
36	181	4736
37	182	4623
38	183	4517
39	184	4416
40	184	4323
41	186	4253
42	187	4173
43	188	4088
44	188	4007
45	189	3932
46	190	3859
47	191	3803
48	193	3753
49	194	3686
50	194	3624
51	195	3562
52	196	3509
53	198	3468
54	199	3421
55	199	3368
56	200	3316
57	201	3265
58	201	3218
59	202	3175
60	204	3142
61	205	3101
62	205	3062
63	206	3021
64	207	2980
65	207	2943
66	208	2907
67	209	2877
68	211	2849
69	211	2816
70	212	2781
71	213	2747
72	213	2714
73	214	2685
74	215	2657
75	216	2631
76	217	2606
77	218	2577
78	218	2548
79	219	2520
80	219	2493
81	220	2468
82	220	2440
83	221	2418
84	222	2398
85	223	2375
86	224	2352
87	224	2329
88	225	2306
89	225	2284
90	226	2263
91	227	2244
92	228	2226
93	229	2207
94	229	2187
95	230	2168
96	230	2149
97	231	2130
98	232	2112
99	232	2094
100	233	2078
101	234	2062
102	235	2046
103	235	2030
104	236	2013
105	236	1997
106	237	1981
107	238	1966
108	238	1950
109	239	1936
110	240	1923
111	240	1909
112	241	1895
113	242	1881
114	242	1867
115	243	1854
116	243	1839
117	244	1827
118	245	1814
119	245	1802
120	246	1790
121	247	1777
122	247	1765
123	248	1753
124	248	1741
125	249	1730
126	249	1718
127	250	1707
128	251	1696
129	252	1687
130	252	1676
131	253	1667
132	254	1657
133	254	1647
134	255	1637
135	256	1628
136	257	1619
137	257	1609
138	258	1601
139	259	1592
140	260	1585
141	260	1574
142	261	1565
143	261	1556
144	262	1547
145	263	1538
146	263	1529
147	264	1521
148	265	1515
149	266	1507
150	266	1499
151	267	1490
152	267	1482
153	268	1474
154	269	1466
155	269	1459
156	270	1452
157	271	1446
158	272	1439
159	272	1432
160	273	1423
161	273	1416
162	274	1409
163	275	1401
164	275	1394
165	276	1387
166	276	1381
167	277	1375
168	278	1369
169	279	1363
170	279	1356
171	280	1350
172	281	1343
173	281	1337
174	282	1330
175	282	1324
176	283	1319
177	284	1314
178	285	1308
179	285	1301
180	286	1295
181	286	1289
182	287	1283
183	288	1277
184	288	1272
185	289	1267
186	290	1262
187	290	1256
188	291	1251
189	292	1245
190	292	1240
191	293	1234
192	293	1229
193	294	1223
194	295	1218
195	295	1213
196	296	1209
197	297	1204
198	297	1199
199	298	1194
200	299	1189
201	299	1184
202	300	1179
203	301	1174
204	301	1170
205	302	1165
206	303	1161
207	303	1157
208	304	1152
209	305	1147
210	305	1142
211	306	1138
212	306	1133
213	307	1129
214	308	1125
215	308	1121
216	309	1116
217	310	1112
218	310	1108
219	311	1104
220	312	1100
221	312	1095
222	313	1091
223	313	1087
224	314	1084
225	315	1080
226	316	1076
227	316	1072
228	317	1069
229	318	1065
230	318	1061
231	319	1057
232	319	1053
233	320	1049
234	321	1046
235	322	1042
236	322	1039
237	323	1035
238	323	1031
239	324	1027
240	325	1024
241	325	1020
242	326	1016
243	327	1013
244	327	1010
245	328	1007
246	329	1003
247	329	999
248	330	996
249	330	992
250	331	989
251	332	985
252	332	982
253	333	979
254	334	976
255	334	973
256	335	969
257	336	966
258	336	963
259	337	959
260	337	956
261	338	953
262	339	950
263	339	947
264	340	944
265	341	941
266	341	938
267	342	935
268	343	932
269	343	929
270	344	926
271	344	922
272	345	919
273	346	917
274	346	914
275	347	911
276	348	908
277	348	905
278	349	902
279	349	899
280	350	896
281	351	894
282	351	891
283	352	888
284	353	885
285	353	883
286	354	880
287	355	878
288	355	875
289	356	872
290	357	870
291	357	867
292	358	865
293	359	863
294	360	861
295	360	858
296	361	855
297	362	853
298	362	850
299	363	847
300	363	845
301	364	842
302	365	841
303	366	838
304	367	836
305	367	833
306	368	831
307	368	828
308	369	826
309	370	823
310	370	821
311	371	819
312	372	817
313	373	814
314	373	812
315	374	810
316	374	807
317	375	805
318	376	802
319	376	800
320	377	798
321	378	796
322	378	794
323	379	791
324	380	789
325	380	786
326	381	784
327	381	782
328	382	779
329	383	777
330	383	775
331	384	773
332	385	771
333	385	769
334	386	766
335	387	764
336	387	762
337	388	760
338	389	758
339	390	757
340	390	755
341	391	753
342	392	751
343	393	749
344	393	747
345	394	746
346	395	744
347	396	742
348	397	740
349	397	738
350	398	736
351	399	734
352	399	732
353	400	730
354	401	728
355	401	726
356	402	725
357	403	723
358	404	721
359	404	719
360	405	717
361	406	715
362	406	713
363	407	711
364	407	709
365	408	708
366	409	706
367	410	704
368	410	702
369	411	700
370	412	698
371	412	696
372	413	694
373	413	692
374	414	691
375	415	689
376	416	687
377	416	686
378	417	684
379	418	682
380	418	680
381	419	678
382	419	676
383	420	674
384	421	673
385	422	671
386	422	669
387	423	667
388	424	666
389	424	664
390	425	662
391	425	660
392	426	658
393	427	657
394	427	655
395	428	653
396	429	652
397	430	650
398	430	648
399	431	647
400	431	645
401	432	643
402	433	641
403	433	640
404	443	651
405	446	653
406	449	655
407	452	656
408	455	658
409	458	660
410	462	662
411	464	663
412	468	665
413	471	667
414	474	669
415	477	670
416	481	672
417	484	673
418	487	676
419	490	677
420	494	679
421	497	681
422	499	681
423	501	681
424	505	683
425	506	682
426	508	682
427	510	682
428	512	682
429	513	681
430	515	680
431	517	680
432	518	679
433	520	678
434	521	677
435	523	676
436	524	675
437	525	674
438	526	673
439	528	672
440	529	670
441	530	669
442	531	667
443	531	666
444	532	664
445	534	663
446	535	661
447	535	660
448	536	658
449	537	657
450	539	656
451	539	654
452	540	653
453	542	652
454	543	650
455	544	649
456	544	647
457	545	645
458	546	644
459	547	643
460	549	641
461	549	640
462	550	638
463	551	636
464	551	634
465	552	633
466	553	631
467	554	630
468	555	628
469	556	627
470	556	625
471	557	623
472	558	621
473	559	620
474	560	619
475	560	617
476	561	615
477	562	614
478	563	612
479	563	610
480	564	608
481	565	607
482	566	606
483	567	604
484	567	602
485	568	601
486	569	599
487	569	597
488	570	596
489	571	594
490	572	593
491	573	592
492	574	590
493	574	588
494	575	587
495	576	585
496	576	583
497	577	582
498	578	580
499	579	579
500	580	577
501	580	576
502	581	574
503	582	572
504	582	571
505	583	569
506	584	568
507	585	567
508	586	565
509	587	564
510	587	562
511	588	560
512	589	559
513	589	557
514	591	556
515	592	555
516	592	553
517	593	552
518	594	550
519	594	548
520	595	547
521	596	545
522	597	544
523	598	543
524	598	541
525	599	540
526	600	538
527	601	537
528	602	536
529	602	534
530	603	533
531	604	531
532	605	530
533	606	528
534	606	527
535	607	525
536	608	524
537	609	523
538	610	522
539	611	520
540	611	519
541	612	517
542	613	516
543	613	514
544	615	513
545	616	512
546	616	510
547	617	509
548	618	507
549	618	506
550	619	504
551	620	503
552	621	502
553	622	501
554	623	499
555	623	498
556	624	496
557	624	495
558	625	493
559	626	492
560	627	490
561	628	489
562	629	488
563	629	486
564	630	485
565	631	483
566	631	482
567	632	481
568	633	480
569	634	478
570	635	477
571	636	476
572	636	474
573	637	473
574	638	471
575	639	470
576	640	469
577	641	468
578	642	466
579	642	465
580	643	464
581	644	462
582	644	461
583	645	460
584	646	458
585	647	457
586	647	455
587	648	454
588	649	452
589	649	451
590	650	449
591	650	448
592	651	447
593	652	446
594	653	444
595	653	443
596	654	441
597	655	440
598	655	439
599	656	437
600	657	436
601	657	434
602	658	433
603	659	432
604	659	430
605	660	429
606	661	428
607	661	426
608	662	425
609	662	423
610	663	422
611	664	421
612	665	419
613	665	418
614	666	417
615	667	415
616	667	414
617	668	413
618	668	411
619	669	410
620	670	409
621	671	407
622	671	406
623	672	405
624	673	403
625	673	402
626	674	401
627	674	399
628	675	398
629	676	397
630	677	396
631	677	394
632	678	393
633	679	392
634	679	390
635	680	389
636	680	388
637	681	386
638	682	385
639	683	384
640	683	383
641	684	381
642	685	380
643	685	379
644	686	377
645	686	376
646	687	375
647	688	373
648	688	372
649	689	371
650	690	369
651	690	368
652	691	367
653	691	366
654	692	364
655	693	363
656	693	362
657	694	360
658	695	359
659	696	358
660	696	357
661	697	356
662	698	354
663	698	353
664	699	352
665	699	350
666	700	349
667	701	348
668	701	347
669	702	346
670	703	344
671	703	343
672	704	342
673	705	340
674	705	339
675	706	338
676	707	337
677	707	336
678	708	334
679	709	333
680	709	332
681	710	331
682	710	329
683	711	328
684	712	327
685	712	326
686	713	325
687	714	323
688	714	322
689	715	321
690	716	320
691	716	319
692	717	317
693	717	316
694	718	315
695	719	314
696	719	312
697	720	311
698	721	310
699	722	309
700	722	308
701	723	307
702	723	305
703	724	304
704	725	303
705	726	302
706	727	301
707	727	300
708	728	299
709	729	297
710	729	296
711	730	295
712	731	294
713	732	293
714	733	292
715	733	291
716	734	289
717	735	288
718	735	287
719	736	286
720	737	285
721	737	284
722	738	283
723	739	282
724	740	280
725	741	279
726	741	278
727	742	277
728	743	276
729	743	275
730	744	274
731	745	273
732	746	271
733	747	270
734	747	269
735	748	268
736	749	267
737	749	266
738	750	265
739	751	263
740	751	262
741	752	261
742	753	260
743	753	259
744	754	258
745	755	257
746	755	255
747	756	254
748	756	253
749	757	252
750	758	251
751	759	250
752	760	249
753	760	248
754	761	247
755	761	245
756	762	244
757	762	243
758	763	242
759	764	241
760	765	240
761	765	239
762	766	238
763	767	236
764	767	235
765	768	234
766	769	233
767	769	232
768	770	231
769	771	230
770	772	229
771	772	228
772	773	227
773	774	226
774	775	225
775	776	224
776	777	223
777	777	221
778	778	220
779	779	219
780	779	218
781	780	217
782	781	216
783	781	215
784	782	214
785	783	213
786	784	212
787	784	211
788	785	210
789	785	208
790	786	207
791	787	206
792	788	205
793	788	204
794	789	203
795	790	202
796	790	201
797	791	200
798	791	199
799	792	198
800	793	197
801	793	195
802	794	194
803	795	193
804	795	192
805	796	191
806	797	190
807	797	189
808	798	188
809	798	187
810	799	186
811	800	185
812	800	184
813	801	183
814	802	182
815	802	181
816	803	180
817	804	178
818	804	177
819	805	176
820	806	175
821	806	174
822	807	173
823	807	172
824	809	171
825	809	170
826	810	169
827	810	168
828	811	167
829	812	166
830	812	165
831	813	164
832	814	163
833	815	162
834	815	161
835	816	160
836	817	159
837	817	158
838	818	157
839	818	155
840	819	154
841	820	153
842	821	152
843	821	151
844	822	150
845	823	149
846	823	148
847	824	147
848	825	146
849	826	145
850	826	144
851	827	143
852	828	142
853	828	141
854	829	140
855	830	139
856	830	138
857	831	137
858	831	136
859	832	135
860	833	134
861	834	133
862	834	132
863	835	131
864	836	130
865	836	129
866	837	128
867	837	127
868	838	126
869	839	125
870	840	124
871	840	123
872	841	122
873	842	121
874	842	120
875	843	119
876	844	118
877	844	117
878	845	116
879	846	115
880	846	114
881	847	113
882	847	112
883	848	111
884	849	110
885	849	109
886	850	108
887	851	107
888	851	106
889	852	105
890	853	104
891	854	103
892	854	102
893	855	101
894	856	100
895	856	99
896	857	98
897	858	97
898	859	96
899	860	95
900	860	94
901	861	93
902	862	92
903	862	91
904	863	90
905	864	89
906	865	88
907	865	87
908	866	86
909	867	85
910	868	84
911	868	83
912	869	82
913	870	81
914	871	80
915	871	79
916	872	78
917	873	78
918	873	77
919	874	76
920	875	75
921	875	74
